route_name,dir_id,day_type_id,day_type_name,time_period_name,stop_name,average_ons,average_offs,average_flow,ObjectId
Blue Line,EB,day_type_01,Weekday,NIGHT,Airport,57,146,488,330
Blue Line,EB,day_type_01,Weekday,NIGHT,Aquarium,90,5,663,331
Blue Line,EB,day_type_01,Weekday,NIGHT,Beachmont,2,145,286,332
Blue Line,EB,day_type_01,Weekday,NIGHT,Bowdoin,24,0,24,333
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Suffolk Downs,188,7,3227,334
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Government Center,1323,14,1552,335
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Ruggles,648,167,2997,336
Orange Line,NB,day_type_01,Weekday,PM_PEAK,State,1145,1303,6309,337
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Stony Brook,311,53,1611,338
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Sullivan Square,226,868,5384,339
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Tufts Medical Center,938,201,5464,340
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Wonderland,1562,0,1562,341
Orange Line,NB,day_type_01,Weekday,PM_PEAK,Wellington,45,1076,3652,342
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Maverick,352,1103,2156,343
Blue Line,WB,day_type_01,Weekday,AM_PEAK,Wood Island,355,48,4017,344
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Orient Heights,83,446,1315,345
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Airport,1342,369,4732,346
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Revere Beach,18,397,541,347
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Aquarium,101,835,5605,348
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,State,1439,133,2858,349
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Beachmont,622,66,2497,350
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Suffolk Downs,9,83,1214,351
Orange Line,NB,day_type_01,Weekday,EVENING,Assembly,174,472,2857,352
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Bowdoin,0,524,0,353
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Wonderland,0,534,0,354
Orange Line,NB,day_type_01,Weekday,EVENING,Back Bay,941,196,2535,355
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Government Center,2,2663,515,356
Blue Line,EB,day_type_01,Weekday,MIDDAY_BASE,Wood Island,47,214,1390,357
Orange Line,NB,day_type_01,Weekday,EVENING,Chinatown,483,184,3232,358
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Maverick,1975,527,6289,359
Blue Line,EB,day_type_01,Weekday,MIDDAY_SCHOOL,Airport,335,767,2651,360
Orange Line,NB,day_type_01,Weekday,EVENING,Community College,131,260,3664,361
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Orient Heights,847,82,3473,362
Blue Line,EB,day_type_01,Weekday,MIDDAY_SCHOOL,Aquarium,537,181,4395,363
Orange Line,NB,day_type_01,Weekday,EVENING,Downtown Crossing,1161,718,3702,364
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Revere Beach,708,17,1962,365
Orange Line,NB,day_type_01,Weekday,EVENING,Forest Hills,510,0,510,366
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,State,160,2678,3143,367
Orange Line,NB,day_type_01,Weekday,EVENING,Green Street,158,18,676,368
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Suffolk Downs,138,13,2643,369
Orange Line,NB,day_type_01,Weekday,EVENING,Haymarket,256,241,3490,370
Orange Line,NB,day_type_01,Weekday,EVENING,Jackson Square,297,63,1075,371
Orange Line,NB,day_type_01,Weekday,EVENING,Malden Center,20,1444,981,372
Orange Line,NB,day_type_01,Weekday,EVENING,Massachusetts Avenue,366,148,1762,373
Orange Line,NB,day_type_01,Weekday,EVENING,North Station,837,665,3684,374
Orange Line,NB,day_type_01,Weekday,EVENING,Oak Grove,0,1016,0,375
Orange Line,NB,day_type_01,Weekday,EVENING,Roxbury Crossing,275,60,1285,376
Orange Line,NB,day_type_01,Weekday,EVENING,Ruggles,287,85,1501,377
Orange Line,NB,day_type_01,Weekday,EVENING,State,502,811,3438,378
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Wonderland,1241,0,1241,379
Blue Line,WB,day_type_01,Weekday,MIDDAY_BASE,Wood Island,341,49,3341,380
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Airport,1088,251,3198,381
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Aquarium,140,524,3588,382
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Beachmont,441,68,1566,383
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Bowdoin,0,277,0,384
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Government Center,2,1778,275,385
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Maverick,1306,450,4000,386
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Orient Heights,514,65,2024,387
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Revere Beach,555,12,1148,388
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,State,123,1660,2055,389
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Suffolk Downs,80,10,1634,390
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Wonderland,632,0,632,391
Blue Line,WB,day_type_01,Weekday,MIDDAY_SCHOOL,Wood Island,310,40,2033,392
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Airport,773,190,2234,393
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Aquarium,169,379,2769,394
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Beachmont,288,62,1075,395
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Bowdoin,0,188,0,396
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Government Center,3,1382,186,397
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Maverick,1060,390,2943,398
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Orient Heights,375,74,1477,399
Blue Line,WB,day_type_01,Weekday,PM_PEAK,Revere Beach,330,16,858,400
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Stony Brook,2,5,55,401
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Sullivan Square,241,16,634,402
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Tufts Medical Center,9,98,287,403
Orange Line,SB,day_type_01,Weekday,VERY_EARLY_MORNING,Wellington,148,4,486,404
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Assembly,60,18,1096,405
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Back Bay,23,269,545,406
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Chinatown,22,82,1106,407
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Community College,75,33,1323,408
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Downtown Crossing,138,412,1240,409
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Forest Hills,0,155,0,410
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Green Street,1,39,161,411
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Haymarket,67,54,1304,412
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Jackson Square,29,42,213,413
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Malden Center,526,4,894,414
Orange Line,SB,day_type_01,Weekday,EARLY_AM,Massachusetts Avenue,30,80,497,415
